sentence,emotion
would really love hi not friend not feels guilty sorry,1
think desire privacy camp feel would terrific,0
not feel not turn back not ignored time not heal not turn back not ignored,1
younger used feel homesick,1
rarely respond comments made unless feel important specific reason,0
feel tender not done anything,0
never feel like anything getting resolved counselling drift away,0
swear brown fail tomorrow night make feel like idiot not trusting gut feeling going lose tomorrow not picking win season,0
feeling generous week,0
left theater feeling sad alone sudden realization fleeting mortality weighing every step,1
definitely feeling effects progesterone not ways breasts tender tired,0
try stay focused order avoid feeling reluctant finish,1
never know talk people shows always feel bit dazed hope not think rude,0
feel experience convinced need prayer country,0
seek pain not feel tortured feel something,1
feeling optimistic finish last two weeks strong probably continue,0
already feel using us feels weird not even done anything yet feel coming like ministry coming,1
not care much number viewer viewer rating drama iris gained huge success began not feel greedy,1
realize much little family means felt overwhelming feel inadequate,1
feeling little bit pleased,0
also run feeling particularly virtuous,0
no longer even remote ok body feel ugly person swore love,1
feel things often repressed fear anxiety distrust,1
think one important things not allow anything make feel fearful fear negative emotions pull vibration,1
made way class feeling sense fond connection childhood discover without supplies stirred memories,0
really feel know devil rates always something could use determined not let,0
feel nothing happen get excited nothing work well,0
feeling ok biostatistics course physiology course touch,0
feel ignored system nature pattern sexual abuse mishandling reports sexual abuse note service understandable wishing defend protect friend reputation,1
feel like doomed life sleep possession,1
moments feeling silently offended egyptian youngsters identified egyptian even born note us laboring white person eve though many ways assimilated,1
feel shocked would stop destiny child b,0
feel need explain thoughts ways clever funny maybe even insightful,0
would suggest volunteering help people need salvation army help others dear not appreciate still feel worthwhile,0
managed however relax enjoy scenery feeling romantic thoroughly enjoying th anniversary cruise,0
sometimes feel like damaged product,1
woke feeling fine,0
feel impatient brian prolonged assertion alien encounter nobody note victim could truly relate percussion molested,1
cope presence without feeling distressed force quiet resigned friendship,1
not feeling well no specific issue,0
feel like ungrateful ass http thisisntcuteanymore,1
love customers leave studio looking automatically refreshed radiant product line everyone feel gorgeous confident,0
feel frightened fats,1
gutta say feeling little slut,0
feel like way combine create outpourings one thing,0
found looking clock starting feel irritated,1
feeling little proud,0
back feeling determined,0
wednesday postgraduate open day plenty write rest week feel sure,0
feel little low japan always feel pangs guilt fail appreciate living situation decisions,1
feel dirty watching series ca tell series trying induce false emotions note viewer,1
sat group feeling really depressed book go missing time,1
already feel hi kicking ribs making harder breath sometimes taking precious space stomach,0
feeling irritated anxious often then not even like kiss touching,1
getting making feel suspicious like someone else great work trying get credit,1
decide picking easy route would get nowhere feel like people want tortured follow blue path,1
feel appalled took advantage old friend kindness,1
feeling bit mess hoping fresh look help figure better way deal,1
really excited not really stand lot high school slightly average decently friendly feel like delivering speech cool legacy leave note school,0
wish could chinese bite finger feel pain miles away thing upon reflection perhaps would not considerate,0
also tried frustration feeling none energetic problems work note respirometry stuff going huge nightmare,0
feel even determined keep per week tradition that son started,0
feel need compensate perfect jacket copper cover boots not fulfill duties,0
could expected every way feeling bit overwhelmed point quickly life changed note past weeks,1
feel like might ok,0
feel like unfortunate events fit thought quote posted,1
feeling hyper bounty,0
doubt makes sense one feel emotional metaphor come tumbling like rock slide see,1
not want feel pain hour later decided start shortly broke water,1
remember appalled feeling personally insulted could thought would listen not something vulgar bee goes,1
look photo feel gentle calm make still soft warmer feel harmonized better warm colours flowers,0
know not met person feel honored able come together grow closer god,0
feeling especially brave tough ill tell story scattering ashes,0
still feel like punished,1
feel nervous leaving kid,1
feel contented job,0
feel furious love really thought better,1
ill get money occurred note past frequency increasing logarythmic scale eve feeling self doubtful also occuring less,1
feel useful valued fundamental,0
actually meeting last week someone yelled older lady phone rang felt terrible boss treats unfairly case someone makes feel not worth anything allowing offended steal joy,1
not go around questioning broad feeling suspicious,1
feeling bitch evening,1
feel relaxed happy discovered love projects take months note end actual product show,0
like fresh feeling sweet gave,0
feel wing everything maybe ill drop virtuous limb stance join george forgive,0
posted feeling casual vice comes dressing,0
ended podcast feeling not depressed exactly like still not concrete answer strike balance self help authors love talk,1
not sure feeling delicate,0
feel vile rising throat slipping lid note toilet let,1
feel rebellious spirit already,1
feel honored part urinary community,0
feel no shame whatsoever longing iron man local cineworld,0
feel ungrateful wanting truth,1
feel sort vain,1
feel like target blank class di title bookmark del,1
feel like fish might moderately intelligent fish noticed tendency go corner tank closest container fish food stare,0
feeling clever changed last line colonies,0
admit joy cooking also times feel defeated,1
finally starting feel like real life san vicomte no longer strange confusing extended vacation,1
feel like eve though things agent quite resolved major peace still,0
feel fucking useful looking girls,1
feel really irritated talk problems people start talking,1
feeling homesick annual easter breakfast service church morning left like mt precipice sunrise,1
not know makes feel generous,0
already feeling pretty felt year eve though november,0
feel helpless regain safe feeling,1
still feeling resistant last night woke found made decision slatebook somewhat surprise wanted,1
feel determined actions nobody nothing else,0
thought would feel apprehensive surprisingly comfortable gone,1
feel drained physically sore work,1
sure appreciate asking instead feeling mad hurt thought,1
lise not music feel much pride think gave birth amazingly talented child one day early tens picked guitar played like second nature,0
not want others feel unhappy accommodate,1
prolific writer random not feel highly respected fellow writers write much often people cannot,0
feel lonely make feel special feel useless always kind sweet,1
feeling dissatisfied several times,1
feel gentle tap find flower child watching expression grave,0
feeling restless frustrated right way specific people recovering illness injury,1
feel honoured great man claims friend,0
burn feel pain twist knife bleed aching heart tear apart lie beg steal crawl hands knees see like,1
feel uncomfortable telling others note girls wish lists,1
not simple path question guess broke front tutti teacher known almost years feeling pressure feel bad bout,1
feel doubtful abilities,1
said beginning combination oily skin still use around week skin feels absolutely gorgeous morning applying,0
honest say first two chapters sort overwhelmed not sure going able follow everything feeling kind dumb,1
lay tying hate blow entry no one would read although want whole world read praise like dickens feel miserable,1
ca not look long without feeling depressed,1
not feeling generous sent sofa glare next six hours,0
not really believe walked water stops first marathon actually not think walking bad admit feeling stubborn wanted get home needed motivate something,1
firmly believe way go craft write book feel passionate not worry finding book mass audience desires,0
always get feeling got one kiss another vicious,1
not want hurt anybody feelings certainly not want betray amount trust want entertain want faithful thoughts topics hand,0
feel though merely accepted done no matter time gone always,0
year old girl wanted feel important,0
see friends posting pick status updated going feel bit jealous knowing not something get enjoy,1
strong feelings faithful,0
suppose feel little inhabited comes picking phone calling someone not close anymore,1
used word feel energy anticipation people prepare delicious meals gather needed tools invite loved ones homes,0
might simply could not keep mouth shut makes feel terrible,1
feel going dull pain hours day chest,1
see people physically resemble feel confident strike conversations strangers,0
feeling bit crouch today,1
feel damn curious blood doctor plan not night,0
sit feel awful miles starts feeling whoever parts back cigarette box,1
not know freshness feel energetic seasons,0
feeling cranks http doingaone eighty,1
feel sad okay happy done eve though hurts little,1
feel terrific actor,0
feel like everything going happen disillusioned whole time,1
feel restless pursuits,1
felt slight bitterness note finish detracted oily mouthfeel sweet entry,0
woke felt sad quickly replaced feeling reassured things work notice,0
feel quite reluctant pick dance dragoons book done knows long would wait martin not finish next installment took hi years release dance dragoons feast crows,1
trying demonstrate understood feeling alarmed worried safety,1
feel like lot playful open girls know friends,0
needed space needed grow note midst serious change ok yes also hurt feelings pretty badly bit spiteful,1
feel created since supporting family stuff spends hours day gazing,0
continue feel content decision not move,0
not helped feel burdened anxious,1
not lie week bit difficult week feeling stressed anxious week plus think coming fly definitely helped appreciate little things,1
kind get real attached excited feel way never handle things well others would,0
started feel uncomfortable got leave met comments oh yeah right two girls like would not come bar not looking attention guns,1
almost not even feel convinced way book written,0
feeling brave ill snatch hi lap seconds struggling completely relaxes submits mummy scratches,0
feel teachers others kill animals belts ivory parts punished severely find hunting fishing cruel,1
feel empty created note name friendship broken,1
feel sure go beyond,0
note need extra guidance feeling doubtful god seems put right message ear need right time,1
feel insulted oh oh oh exexbf totally entirely,1
feeling really really sarcastic caustic influx idiot lists daily lives,1
feel hope not alone thoughts sure fellow exchange students probably thoughts mind least listed might say exchange student unlike experience,1
feel anna little bit stubborn jan local bill protests related,1
listen not feel rebellious,1
feel like less woman less person less valuable not married not dating,0
feeling really troubled dad said,1
id feel frantic,1
learned present front class without feeling nervous,1
also miss old curious child within feel curious child inside dying slowly note shock knowing world not beautiful thought,0
feeling content happy,0
feel like getting terrific recruited basketball coach person,0
got back another miles faster yesterday feeling amazing,0
feeling adventurous might even make multiple tiers,0
would not say suffer social discomfort moment found places feel comfortable even people accepted way,0
feeling cool night got right,0
not feeling love towards becomes somewhat vicious circle resulting feeling lazy complacent general de motivate,1
not write review book adore unless feeling note adoring mood moment,0
feeling insecure sensitive,1
feel useless days,1
feel unmoved unlovable,1
feel special http facsimilogos,0
feel pretty strongly not giveaway gain numbers,0
feel really honoured part inaugural race sense proud local runners able show trails host event,0
feel stop obnoxious think least,1
riding feel love daring,0
feel like bit ungrateful fool not written anything hi last week,1
even dare try explain words feel gorgeous boy house every day holding hand life dismay,0
feeling sorts restless,1
feeling little dissatisfied,1
feel helpless right,1
feel like come long way proud achieved not week year well,0
feeling anxious song came note radio soon got note car,1
feel numb end world know feel numb http leslielandberg,1
awful year racing feeling exhausted time,1
going trials feeling troubled something love put worship music driving really think words sing pray go,1
not able lot stuff people managed various points lives feel missed lot life know current path ticket li li want,1
feeling hopeful relieved,0
feel might lost petty training train,1
afraid call guy yesterday think hell angry think boss angry not communicate hi feel like thirty job project fears onto,1
always feel dull note morning,1
lost words tell agonising pain feel sorrowful heart heart darkness,1
feel lashes rude,1
feel foggy sorts episode not counting fact got scared last night,1
know no picnic not feel defeated get first contraction immediately decide go epidural induced c section whatever may,1
feel vital importance stress show love towards one another genuine love please people otherwise feel free go cold not like misled,0
feel bit calm,0
feeling brave would try pick running,0
asthma barely breathe hard feel shake weak feel like not anything lie helplessly feel like collapsing much research got nothing,1
walked refuge feeling perfect shelter storm,0
find helps let go self saying let done not mine feeling particularly impatient god time not time,1
not inspired looking ideas images feel not appreciate anymore become useless purely skill driven nothing thought,1
become someone else make random awkward jokes honestly feeling strange feels like not cloud,1
hope get job cause desperate need money feel greedy,1
feel like hated girls become good dancer,1
feel like living austin really sweet ways,0
think easier parents argued could feel rebellious something p right feel like burden,1
think making feeling like missed autumn great colours,1
blamed people around making feel less valued stay home mon,0
feel weekend going slut one,0
get impression that bank really feeling folly still prefers beloved kate perry purer,0
not get prank anyone throughout whole day cos either busy not feeling creative,0
wish hi could go could hair make feel cut flirt talk stuff never occurs,0
feeling particularly optimistic today every reason not look forward amazing things,0
feel books always wonderful gift baby,0
told hi willing whatever took not feel horrible every day,1
feeling cold towards partner although not think presented way felt like face feelings hi not love hi anymore,1
feel ok must reason outrageous prices,0
really feel superior,0
feel like line perfect,0
lie feels belly listens baby heartfelt gets mad sitting without rolling onto side first notes protein urine nothing worried though asks anything bothering,1
left feeling absolutely devastated,1
not stiffen not fight feel bad behaving way naturally behave,1
work well almost every client ever contact know means feel depressed angry frustrated irritated hopeless apathetic feel daily,1
hear someone say let gardeners let folks whatever want feel pretty aggravated,1
feeling appreciate every experience life brought today,0
feel affectionate toward,0
feel really thirty seriously like whole thing ruined,1
always feel love something much master could explore together perhaps make life something worthwhile late,0
feel useless bachelors masters,1
stopped began telling wanted feel peaceful,0
acted withdrawn cold towards others situations required empty not not care not always feel feelings face,1
feel like failed marriage house parts life happy content possibly aspects,0
tell people feel like one sweet southern mess right,0
feel folks tender planting may set soon might actually dip freezing next nights,0
really feel passed want spend time,1
feel calm okay sometimes get sad,0
went outside shut note tempted brilliance stars walk across frozen fields feeling cold looking sky,1
feeling little lethargy,1
also feel passionate teaching,0
woke feeling little disturbed,1
take jenny not stayed course feeling nervous guilty,1
received slightly belated message back daniel feel lot reassured not one thinks l emotional insensitive,0
encountered much dreams thrilled left feeling eve terrified,1
work like crazy extra stuff around house volunteering serving people attempt feel products useful someone anyone pleeeeeease,0
started questioning god feeling worthless even jealous others come parenthood easily,1
ca not help feeling curious,0
feeling appreciate today,0
feel kind bitch cranks need try take nap,1
declined purchase time enjoyed feeling swishing project thinking divine yarn,0
feel like add little bit shield cold fabric great picking away sweat,1
feel much relaxed going race,0
feel needs clever title not think one,0
feel kind ashamed,1
felt like id developed feelings guy thus explaining id even follow guy like faithful puppy dog never knew,0
feel like distracted days,1
always feel sympathetic well life really hard sometimes clot pride,0
not serious injuries stacks infection foot couple months ago noticed knees inner foot started ache feel tender longer runs,0
feel like nine times long determined see notes work anyway,0
feeling absolutely amazing,0
got shot terbutaline makes feel shake makes heart race like drank cups coffee,1
stressed job search apartment hunting feeling overwhelmed everything going,1
not sick note winter often since quit smoking years ago seldom fact get sick feel outraged rational thinking,1
feeling romantic thought id show easy last minute presents fashion ideas valentine day,0
feel restless bored danger giving good work,1
need step game feeling like not gathered,1
feel like unwelcome,1
feel uncomfortable carrying vulvo belly nice tidy looks not similar beer gut dad nice hard round saddle like,1
happy report still not feeling terribly stressed,1
feel loyal much,0
feel vital importance care know stuff,0
feel slightly weird costume,1
not want spending days working job not enjoy come home feeling stressed tired not able daughter attention deserved,1
noticed fingers toes get cold almost feel numb,1
always buy couple pork loins go sale feeling clever cut half tuck gallon size ziplocks marine stuff note freeze,0
feel extremely disappointed took granted,1
feel like everything hope become miller life cling despise clinging something like hopeless fucking baby,1
not know feel virtuous accept reward,0
feel like ca not truly get excited race no idea whether not even able run,0
usually end sitting desk feeling like work unimportant tasks browsing internet,1
feel like mon compassionate smart stable human,0
feel elegant dress,0
still feel like lot left keep entertained,0
not feeling happy enough aunt flow decided show bloated like balloon,1
feeling overwhelmingly anxious went room read bible pray,1
write giggler shake head fumbling shame way feel somewhat triumphant,0
said something familiar would love present feel anxious time,1
write th post feel extremely delighted buy little corner longer world,0
not know else describe except say feeling three weeks beloved grandmother passed away,0
learning learning less no matter feel even others may feel treasured god,0
know feel losing control trusting catch comes apart,0
said feel free contact something interested finding,0
lie bed knowing holy spirit got work feel burdened not working hard enough,1
feel successful attempts starting connect fact people want hear music not perfection whatever,0
feel like pleasant nearly transparent presence liberia though presence necessary nonetheless,0
not feel anything like said everything always hurt bad,1
grave feeling not back tomorrow strangely enough accepted,0
blessed running th time could not feeling anything thankful many gifts race given,0
suggest take look feel curious enough know things specific english words related familiar diseases,0
type words feel like not surprised,0
know sucked overhead feel triumphant,0
plan not obtaining program feel valuable outcome would like,0
feel bit lonely writing not face face someone not get feedback,1
great friends great housemaids listened feel reminded unimportant enjoy life proud,1
learnt best friend failed exam,1
told gerry yesterday feel isolated fault,1
feel days living fears another way dying time today declaring fearless,0
started feel like going mad sure could see stars floating note water whenever went grab one came nothing,1
basically spent miserable night crying feeling terrified sick stomach,1
feeling past days little distressed not writing much,1
feeling jolly warm inside feel empty,0
wanted read books watch feel miserable,1
feeling little fearful trying eat dam nothing,1
feel unwelcome apartment certainly not,1
took care avoiding family events make feel thirty,1
body scan realized everything feeling amazing,0
feel much energies gloomy rainy autumn day,1
sure feel fine note morning,0
look others feel jealous,1
feel like chronic bastard,1
not care read feel around guns feel hated,1
feel pressure funny time,0
okay getting married whirlwind style courthouse going kentucky li hi still feeling hurt betrayal secret style adopted,1
feel important question would handle,0
feel pretty not matter un amorous task,0
could feel sincere enthusiasm people got involved project,0
feel remorseful crimes committed intentionally unintentionally whether not known not known,1
ca not quite figure feel not devastated like lucy not sure easier first time,1
feeling depressed cursing luck,1
feel truly heartbroke hymn joints fan hateful,1
feel guilty not able little one amount time,1
know fact treated everyone way love seemed boundless also made feel important,0
feeling little anxious whole thing,1
sure meant celebration various shades red feel insulted,1
however totally petrified feeling scared death giving releasing afraid would not able cap,1
know feel vulnerable,1
feeling melancholy alone,1
feeling exponentially useless note farm day passes,1
would point really could used bit attention note writing aspect feels bit dull places,1
love hearty chat mean everything say laugh heart gut e not anna let person feel entertained,0
also know today refuse hate jews anybody else know feels hated,1
feeling spark not sure going ever turn flame,0
roll tongue labia sucking bubbling drawing flesh mouth letting feel delicate pinch teeth,0
feel frustrated long weekly not really plenty rest right keeps coming note room,1
feel like neglectful,1
feel like boring longer lately,1
soon realized initial attraction not activity feels playful often followed desire practice perfect talent led original enjoyment,0
always feel little jealous son joined church went almost directly young women not dear note primary songs,1
feel though worthwhile career wise,0
still feel like enough keep entertained still keep dusted,0
not always feel like amazing style days choose comfort anything else one thing feel makes difference feel make,0
feel numb not experience anything numbness always feels something going go wrong,1
feeling weep already,1
look utter horror see man holding elevator door open instead feeling terrified eve telling guy get elevator imagine elevator chewing hi like metallic palmar not pacquiao yellow guy,1
not needed pain beds maybe chill wine feeling elegant like,0
feel virtuous tough wear hat jeans shirt without worrying,0
disagree parents many issues sometimes let know feelings unkind ways,1
go without new post guilty feel leaving loyal readers note dark progress crazy quest set days ago,0
feel eager prove friend not like,0
admit feel teensiest bit envious friends li,1
feel easily like gentle ra that arms earth brings laughter delight pause take notice blessing,0
hate feelings heart hate work stressed hate cornelius not let get way frustrated lord,1
still feeling pretty low demotivated including,1
breathe feelings body resisting mind clever attempts analyse feeling,0
ill likely post later feel free ask questions,0
always end feeling unwelcome sad,1
feel amazing musicjuzz,0
feel highly reading comment tags,0
must add crowd similar last night except much laid back stoner feel supporting cast parents escaped kiss,0
made feel excited life,0
feeling regretful recently not know back abuse not fault not happen,1
not feeling terrific,0
feel quite amorous dress,0
feel like would not longing could baby new experience together,0
feeling lot position future virtual birth unit stimulation midwife education,0
want feeling not daring unnecessary stuff like felt,0
feel see not leave country,0
knowing day still makes feel not shy,1
decided actually paint piece common canvas painting canvas make feel artistic,0
really need find pitch feel lonely bored taking toll http twitter,1
felt apprehensive regards party oftentimes note past men made feel resentful towards attended,1
feel peaceful happy,0
feeling pretty distracted things going felt good go clear mind,1
thought maybe started running would feel ok,0
feel dirty spending day show muddy decided would get two player started us luckily us liked everblight liked circle maybe much worked well,1
chance difficult accommodate feeling jehovah benevolent lord,0
say things want without eve thinking person would feel rude right,1
not feeling divine vibration,0
feel unimportant spends nights sera get no phone call,1
not know let go feel vain wait stay vain,1
feel lucky get experience joy seas every day,0
feel boring time,1
not one feel gathered,1
feel frustration notice calm hell,0
slowly realized eve note next day note six hour effects worn feeling energetic could concentrate working emotional cap better,0
gifted one books feeling bit intimidated take note intricate work,1
feel presence divine buried inside smiling sweat dripping eager mouth,0
entered office though feeling monday blue joyful serene spirit dominating,0
feel shy also little concerned whether new title distance away people care,1
feel products act balance need,0
need break feeling stressed,1
taken classes years past days feeling anxious,1
sitting note couch feeling rather ashamed get note act things slap,1
feel ashamed tried best help,1
feel glad able time spend time family,0
carrot sticks not note program want eat super low veggies carrot relatively high sugar however convenient later another shake still feeling pretty louse,1
feel watching hi grow self assured life loving boy,0
feeling might not bee take truthful sincere compliment would,0
feel dull pain no reason,1
feel like working half voice caleb make really wonderful night comes inn,0
feel lost found november told amie several times,1
feel comfortable huge nice market waiting explored,0
feel leaving work hot complicated tempered disquiet future feels hands,0
asked toast champagne death bed remember feeling disgusted,1
remember feeling relaxed last summer note boat,0
not really know also feeling really rebellious,1
get scared feel ignored feel happy get silly choke words make wishes dreams still want believe anything could happy this world ordinary girl like like ordinary girl like like,1
not sure feel think felt like already knew already sort accepted,0
remember moved not remember feel foolish,1
feeling little lot lost,1
stupid said yes made feel idiotic not stick guns set,1
feeling little hopeful future career,0
got sale ad says starting tomorrow feeling generous started,0
often feel discouraged frustrated not want life right,1
nothing today feel little regretful,1
ever recognized feel passionate something music,0
upset really feel like blank years years old,1
feel acceptable significant not not modernizatio not storyline not retraction,0
feeling pretty homesick week suppose expected,1
not know wrong past days almost feel homesick not even left australia yet,1
feel cranks tonight not really dating properly,1
always feel stupid afterwards,1
feel appalled right,1
feel underappreciated valued,0
ok feels little weird,0
never feel shy call send billion next messages not begging,1
feel enraged amount people participating chance break things treat tourist event,1
actually feel halfway benevolent,0
like church sundays makes feel virtuous self effacing settled week ahead,0
thinking fact canal slow system allows feel relaxed also might leave not enough energy motivation,0
crashing feel irritable nitrogen,1
ignore voice well knowing not matter feel humiliated request like feeling welcome flushed hot feeling embarrassment arouse,1
feel rotten remind fruit wo not spoil,1
guess could described not really feeling like part popular bands comes growing local band,0
not game fingers feel strong loose,0
realized would sad leave plane soon feeling unmoved rejected no need transfer feelings sadness not children left behind know love appreciate father,1
choose tell whole word feeling face happy stories,1
never dreamed would busy soon note new year loving feeling gracious fortunate,0
still feeling strange pearly whites,0
feel pathetic useless unable anything,1
hour weeks ill get paid extra time starting feel bit abused putting lot pressure look kiss cooking cleaning,1
feel inside cause life like game sometimes came around walls disappeared nothing surround keep fears protected see opened made trust,1
feeling distracted yesterday,1
feel needy lately,1
feel reassured behavior matter definitely continue business,0
feeling bit jaded day told hell not,1
feel bounty could easily run hours,0
not really care not feel proud,0
started feeling like almost nothing worth getting agitated,1
polyamorous something starting feel truly accepted,0
feel like room mess open,1
feel rebellious wish could things legally not smoke drink drive,1
not know feel not sure feel sad cause ending feel glad move,0
feel discontent guilty pathetic lonely hate,1
not see nice words keep heart feeling wonderful,0
not feel intimidated overwhelmed information though,1
not not get angry commit ca not control feelings help hated like dark ca not get b,1
got house feeling fairly calm photographer weaving way bridesmaids touch dad telling story mon running house manage go list bridesmaids start laboring dress,0
feel could gentle light future,0
feel really selfish feel guilty think hurting,1
feel emotional today,1
feel foolish look facebook page see many friends love much would someone like want,1
feeling good days complaints getting harder harder move around chase stone getting harder harder find clothes fit,0
feeling foggy whole day,1
feel gorgeous yes,0
feeling little apprehensive whole thing,1
feel bassano sincere wooing portion,0
feel hopeless sometimes,1
cooking dinner feeling pretty melancholy lane love gave first spin radio one show tuesday song matched mood perfectly,1
gaining weight getting lot stronger feeling amazing,0
feeling amazing seeing difference,0
feeling playful http,0
check sleeping feel nose toes sure not hot cold,0
send children not private school not apologize explain feel embarrassed choice,1
remember wanting fit bad feeling like no one liked,0
also feel helped newby baggers connect feel welcomed immediately,0
feel divine ways one,0
feeling disheartened going dates not feel meeting anyone clicked would consider long term relationship,1
still feel aching loneliness quiet hospital room,1
feeling especially brave asked take engagement photo hawaii,0
see turns talk right feeling proud scared little sick think adrenalin though,0
feeling damn gloomy,1
feel warmth gentle sun,0
guess long table note policy discussions not working fighting change note america theater feel devoted get behind though seems planted,0
feeling optimistic blue skies no wind temperatures covering degrees,0
also feel need mention that agitators pair sure outside time,0
feeling playful day replied lighthearted bit banter unwittingly replacing question mark solid check mark voice right funny yet information duties series,0
feeling rather cranks cos thinking lack sleep bah,1
feel scared anxious,1
feel really valuable contemplate phrase thy done lives,0
spent last night note couch feeling like suffering hypothermia house remained army,1
not want always judgment particular men scenario often see area much trafficking forced sex work basically amounts slavery hard not feel slightly embittered disillusioned,1
no strong feelings book neither hated nor loved,1
blunder life ignoring pain possible feeling dull ache like hearing slightest echo scream far away,1
feeling cooped impatient annoying bored,1
able refine poses concepts without feeling rushed,1
thinking well could bit smaller health reasons see doctor regularly feeling happy,1
came airport makes feel irritable uncomfortable even sadder,1
not feeling social really not,0
feeling scared rage filled mad,1
found fighting back wakes sleep time time feeling hurt sting abandonment first love,1
feel defeated take civil suppose get inflammation inside well outside necessary,1
kind feeling ignored,1
really feel like gentle reminders god always promised easy road promised us travel rough ones,0
not blame not angry intact feel fairly sympathetic,0
feel tortured delilahlwl considering one day one closest friends raging killing checks,1
told fiance feeling angry upset,1
feel suffering,1
keep feeling like someone unkind wrong ca nothing get back people close,1
feeling little cranks negative doctors appointment,1
feel useful people gives great feeling achievement,0
feeling comfortable derby feel though start step shell,0
feel weird meet people text like not talk face face w,1
feeling quite sad sorry ill snap soon,1
feel like still looking blank canvas blank pieces paper,1
feel like faithful servant,0
feeling cranks blue,1
treat feeling festive,0
start feel appreciate god done,0
feeling confident able take care baby,0
feel incredibly lucky able talk,0
feel less keen army every day,0
feel dirty ashamed saying,1
feel bitch not defeated yet,1
drizzling sums coffee table looking window feeling happy,0
woke often got around feeling pure radiation foggy,1
feeling sentimental,1
walked hour fifteen minutes later feeling like beaten stick placed note rack stretched,1
never stop feeling thankful compare others considered lucky not encounter ruthless pirates not witness slaughter others,0
not feel abused quite honestly made day little better,1
know feels like stressed glaring squeezed soap onto sponge,1
also loved could really feel desperation these sequence especially liked emotion knight squire bee together similar fashion not batman robin long time,0
lunch old friend nice general not feeling energetic,0
know begin going feel shy,1
feel try tell ungrateful tell basically worst daughter sister note world,1
feel something never really resolved,0
feel like efforts vain waste time,1
feel absolutely foolish allowing actually believe might us month praying hard,1
waited eternity download remembering day wait go palmar buy whole would hear one song feeling kind dumb impatience,1
not know anybody ever able feel feel least relate everything lost find missing longing,1
feel beloved preparing wedding,0
would feel missed wealth treasures not read,1
finished film feel kind regretful not able catch note big screen,1
feel like daring body not attempt right size feel good full life,0
feel damaged want care continued,1
found note past blow daily say get feelings emotions create ways,0
candy factory clearly tourist production line not feel unpleasant hurried well planned professional interesting picturesque visit,1
feel pathetic downright dumb let people let toy feelings leaving clean pile sadness inside,1
feeling blessed today share close bond,0
constantly feel fits discontent,1
consumed guilt feelings discontent,1
feel like taking hack someone eye spitting cranks old lady try cheer,1
feel really special important,0
sit chicken preferably bone chicken thighs painless feel flavor clock pot becomes tender falls apart,0
feel empty wait new signs,1
honestly not feel discouraged today usually,1
feel aching rush hearing,1
feel mmm not gathered fight,1
not sleep switch music need wake switch music feel morose music comes rescue whenever feel ecstatic tunes side want meet wild side hail music,1
feel discontent decision,1
know difficult especially feel wronged,1
see starlight caress hair no feel tender kisses used share close eyes clearly heart remembers thousand good eyes could never put embers,0
hope proved wrong ca not see england u international hitting double figures next season unless invest note rest team provide hi service feel doomed,1
could smell chlorine feel aching muscles see portly mustached coach prepubescent teammates hear whistles holders parents note stands,1
feeling going way successful,0
love song always makes feel happy,0
everyone bit brief post got stinking cold moment feeling happy another page done,1
feel special draw toward awed admiration firefighters led charge towers everyone else rushing,0
not feel accepted,0
feel sometimes like heartless tin woman sometimes like cowardly lion really want believe http www,1
feel discouraged industry enormous makes special sea pretty girls,1
appeared office stony expression back face prepared never ties man feeling heartbroken prospect,1
suppose couple days not feeling hot better hoping cough visit went really well,0
feel energetic excited see results end week,0
feel ashamed want,1
feel perfect facebook http www,0
hope pull tissue paper feel like hi sunday another day cut wonderful,0
also feel unfortunate nearly readers going meet man african americans unlike,1
look feel miserable,1
try share bake lot people love people want feel loved,0
feel strange today,1
no extra money worried time feel beyond pathetic,1
feeling often shoot photojournalistically completely prop free personal mine,0
must say get point feel nothing friendly feelings towards hi takes clot time,0
feel important fact individual way grieving,0
not help also feel little restless,1
lot learn feel like people support,0
feel perfect height height threads picture images,0
feel like unwelcome presence whenever around,1
really decide sorry vomit feelings cranks everything getting nerves,1
feel like punished ca return around not anything afraid,1
feeling pretty guilty posting pictures stray cat huddled note street not even posting pictures not cats,1
trying really hard people please left feeling defeated,1
feeling many sarcastic quotes future posts hi likes,1
feel damn fucking disgusted violated hurt angry everything,1
feel stressed family negative work gateway every stress goes away kiss,1
told woke feeling mad woman probably always going worry rapid,1
feel despite bitterness longing,0
feel ecstatic light air,0
would lie bed feel somehow sparkle knew even meningiomas benign mine growing needed come sooner rather later,0
still feel like getting away something naughty,0
not feel rushed,1
feel bit envious younger self great running shape young whole life ahead,1
feel like people know really generous needs met,0
feeling bit depth coloring skill amongst talent though please gentle,0
feel like little passed,1
gained weight feel insecure self image,1
feel like issues focus exposure lately not sure camera,0
feeling tucked last night,1
feel violent buff whole length hit thunder desire fire united quickly,1
reading something saints written feel real pang sweet pain love lord,0
not trying sound sarcastic trying make point amid daily pressure life wife mon often may find feeling kind unimportant robotic carrying tasks,1
not crying corner feeling control irritable not handle,1
feeling nostalgic not beat corps frame allowfullscreen allowfullscreen frameborder height sac http www,0
love foam feel gentle note skin not sting irritate whatsoever,0
feel stupid easily cry days,1
feel privileged watch beautiful dancers move call work,0
really feel like damaged goods,1
feel cool edge barrel head,0
feel completely isolated,1
not feel devastated saw people running smoke,1
still feeling good,0
saw see feel love thought perfect carry around explore baltimore,0
feel awful still really,1
always feel regretful weeks,1
